Id,Name,Group,File,Seconds,KB,Centroid_Hz,Over3k_Pct,Peak_dBFS,Pack,Licence,Licence_URL,Attribution,Source_URL,Used_In,Candidate,LUFS,Play_Peak_dBFS,Onset_Ms
AFX-001,Belt Handle 1,foley,assets/afx/rpg-audio/belthandle1.ogg,0.28,11,10707,99.82,-1.3,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,floor_lever.ogg,,-21.9,-3.3,19
AFX-002,Belt Handle 2,foley,assets/afx/rpg-audio/belthandle2.ogg,0.48,15,10845,99.59,-1.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-24.9,-4.2,90
AFX-003,Book Close,foley,assets/afx/rpg-audio/bookclose.ogg,0.23,9,598,4.17,3.2,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-16.2,0.9,74
AFX-004,Book Flip 1,foley,assets/afx/rpg-audio/bookflip1.ogg,0.77,18,4832,79.65,3.3,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-21.0,0.5,589
AFX-005,Book Flip 2,foley,assets/afx/rpg-audio/bookflip2.ogg,0.43,12,4718,63.78,-6.7,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-30.8,-8.3,38
AFX-006,Book Flip 3,foley,assets/afx/rpg-audio/bookflip3.ogg,0.23,9,5636,82.83,-2.8,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-26.0,-4.6,33
AFX-007,Book Open,foley,assets/afx/rpg-audio/bookopen.ogg,0.15,8,1081,12.07,-10.5,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-30.9,-11.5,19
AFX-008,Book Place 1,foley,assets/afx/rpg-audio/bookplace1.ogg,0.28,10,988,8.16,3.2,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,egg_lay.ogg,,-14.9,0.8,53
AFX-009,Book Place 2,foley,assets/afx/rpg-audio/bookplace2.ogg,0.35,11,961,4.94,3.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-15.0,0.7,39
AFX-010,Book Place 3,foley,assets/afx/rpg-audio/bookplace3.ogg,0.26,9,1125,10.46,3.6,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-14.2,1.0,13
AFX-011,Chop,melee,assets/afx/rpg-audio/chop.ogg,0.24,9,1698,9.09,2.8,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,craft_feed.ogg,,-13.8,0.5,50
AFX-012,Cloth 1,foley,assets/afx/rpg-audio/cloth1.ogg,0.66,16,493,2.79,-1.0,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,combat_whiff.ogg,,-22.9,-3.5,111
AFX-013,Cloth 2,foley,assets/afx/rpg-audio/cloth2.ogg,0.42,12,643,2.49,-7.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-26.6,-7.9,105
AFX-014,Cloth 3,foley,assets/afx/rpg-audio/cloth3.ogg,0.48,12,333,1.11,-8.7,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-27.8,-10.1,60
AFX-015,Cloth 4,foley,assets/afx/rpg-audio/cloth4.ogg,0.38,11,1115,8.72,-13.2,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-32.3,-14.6,31
AFX-016,Cloth Belt,foley,assets/afx/rpg-audio/clothbelt.ogg,0.72,21,5998,91.98,-1.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-24.9,-4.3,52
AFX-017,Cloth Belt 2,foley,assets/afx/rpg-audio/clothbelt2.ogg,0.75,20,5894,72.23,-4.0,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-23.7,-6.7,72
AFX-018,Creak 1,foley,assets/afx/rpg-audio/creak1.ogg,0.66,15,2175,16.19,-6.1,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-20.0,-6.7,180
AFX-019,Creak 2,foley,assets/afx/rpg-audio/creak2.ogg,0.83,19,1719,5.59,-5.6,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-20.9,-7.0,36
AFX-020,Creak 3,foley,assets/afx/rpg-audio/creak3.ogg,0.34,10,1120,1.09,-4.8,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-18.4,-7.4,77
AFX-021,Door Close 1,door,assets/afx/rpg-audio/doorclose-1.ogg,0.68,18,2363,21.30,3.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,move_stairs.ogg,,-10.3,1.3,11
AFX-022,Door Close 2,door,assets/afx/rpg-audio/doorclose-2.ogg,0.61,17,2169,23.81,0.3,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-15.6,-2.4,27
AFX-023,Door Close 3,door,assets/afx/rpg-audio/doorclose-3.ogg,0.71,20,2490,29.24,4.1,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-8.1,1.4,25
AFX-024,Door Close 4,door,assets/afx/rpg-audio/doorclose-4.ogg,0.60,17,480,2.75,2.5,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-15.5,0.3,108
AFX-025,Door Open 1,door,assets/afx/rpg-audio/dooropen-1.ogg,0.92,22,1484,16.99,3.1,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,floor_unlock.ogg,,-14.4,0.6,53
AFX-026,Door Open 2,door,assets/afx/rpg-audio/dooropen-2.ogg,1.41,30,1373,17.84,3.1,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,floor_gate_open.ogg,,-16.7,1.0,176
AFX-027,Draw Knife 1,melee,assets/afx/rpg-audio/drawknife1.ogg,0.40,11,6145,82.37,-22.9,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-38.5,-24.3,103
AFX-028,Draw Knife 2,melee,assets/afx/rpg-audio/drawknife2.ogg,0.45,12,4156,46.53,-21.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-35.2,-22.9,62
AFX-029,Draw Knife 3,melee,assets/afx/rpg-audio/drawknife3.ogg,0.48,12,1677,10.08,-9.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-33.4,-11.4,129
AFX-030,Drop Leather,foley,assets/afx/rpg-audio/dropleather.ogg,0.42,11,445,2.96,-4.9,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,floor_gear_drop.ogg,,-18.2,-0.1,65
AFX-031,Footstep 00,footstep,assets/afx/rpg-audio/footstep00.ogg,0.25,9,486,1.96,2.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-17.6,0.3,28
AFX-032,Footstep 01,footstep,assets/afx/rpg-audio/footstep01.ogg,0.28,10,586,3.94,3.0,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-16.0,0.2,37
AFX-033,Footstep 02,footstep,assets/afx/rpg-audio/footstep02.ogg,0.24,9,511,3.77,1.1,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-19.8,-1.2,17
AFX-034,Footstep 03,footstep,assets/afx/rpg-audio/footstep03.ogg,0.27,10,535,2.17,3.1,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-17.3,0.4,21
AFX-035,Footstep 04,footstep,assets/afx/rpg-audio/footstep04.ogg,0.32,11,404,0.19,-2.3,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-22.9,-3.5,31
AFX-036,Footstep 05,footstep,assets/afx/rpg-audio/footstep05.ogg,0.28,10,301,0.30,-3.2,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-24.1,-3.0,16
AFX-037,Footstep 06,footstep,assets/afx/rpg-audio/footstep06.ogg,0.24,10,388,0.56,-0.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-19.7,-0.3,5
AFX-038,Footstep 07,footstep,assets/afx/rpg-audio/footstep07.ogg,0.26,10,526,2.77,2.4,Kenney RPG Audio,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,none,https://kenney.nl/assets/rpg-audio,unassigned,,-19.2,0.1,27
