Move_ID,Name,Stage,Layer,Repeat,Clip,Clip_Name,Role,g,p,Authored_d,Onset_Ms,Expected_d,Hit_Before,Delta_Before,Delta_After
M-THORNBACK-1,Rampart Annihilation,1,1,1,AFX-430,Low Random,main,0.9,-5,0,128.1,0,128.1,128.1,0.0
M-THORNBACK-1,Rampart Annihilation,2,1,1,AFX-430,Low Random,main,0.9,-5,0,128.1,0,128.1,128.1,0.0
M-THORNBACK-1,Rampart Annihilation,2,2,1,AFX-724,Bfh 1 rock falling 02,loud,0.6,-3,140,8.3,120,148.3,28.3,20.0
M-THORNBACK-1,Rampart Annihilation,3,1,1,AFX-430,Low Random,main,0.9,-5,0,128.1,0,128.1,128.1,0.0
M-THORNBACK-1,Rampart Annihilation,3,2,1,AFX-724,Bfh 1 rock falling 02,loud,0.6,-3,140,8.3,140,148.3,8.3,0.0
M-THORNBACK-1,Rampart Annihilation,3,3,1,AFX-753,Rolling,quiet,0.5,-2,260,2.2,200,262.2,62.2,60.0
M-THORNBACK-2,Skullplate Onslaught,1,1,1,AFX-127,Impact Plate heavy 000,main,0.6,-3,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-2,Skullplate Onslaught,2,1,1,AFX-127,Impact Plate heavy 000,main,0.6,-3,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-2,Skullplate Onslaught,2,2,1,AFX-810,Deep Break 2,loud,0.55,-2,120,98.8,140,218.8,78.8,-20.0
M-THORNBACK-2,Skullplate Onslaught,3,1,1,AFX-127,Impact Plate heavy 000,main,0.6,-4,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-2,Skullplate Onslaught,3,2,1,AFX-810,Deep Break 2,loud,0.55,-3,130,104.7,140,234.7,94.7,-10.0
M-THORNBACK-2,Skullplate Onslaught,3,3,1,AFX-753,Rolling,quiet,0.5,-2,220,2.2,200,222.2,22.2,20.0
M-THORNBACK-2,Skullplate Onslaught,3,4,1,AFX-843,Gravel,quiet,0.45,-4,380,76.9,200,456.9,256.9,180.0
M-THORNBACK-3,Thornstorm Volley,1,1,1,AFX-172,Impact Wood light 000,main,0.6,-2,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-3,Thornstorm Volley,1,1,2,AFX-172,Impact Wood light 000,loud,0.6,-2,110,0.0,0,110.0,110.0,110.0
M-THORNBACK-3,Thornstorm Volley,2,1,1,AFX-172,Impact Wood light 000,main,0.6,-2,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-3,Thornstorm Volley,2,1,2,AFX-172,Impact Wood light 000,loud,0.6,-2,100,0.0,140,100.0,-40.0,-40.0
M-THORNBACK-3,Thornstorm Volley,2,1,3,AFX-172,Impact Wood light 000,loud,0.6,-2,200,0.0,200,200.0,0.0,0.0
M-THORNBACK-3,Thornstorm Volley,2,2,1,AFX-152,Impact Soft heavy 000,quiet,0.5,-3,180,1.2,200,181.2,-18.8,-20.0
M-THORNBACK-3,Thornstorm Volley,3,1,1,AFX-172,Impact Wood light 000,main,0.6,-3,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-3,Thornstorm Volley,3,1,2,AFX-172,Impact Wood light 000,loud,0.6,-3,95,0.0,150,95.0,-55.0,-55.0
M-THORNBACK-3,Thornstorm Volley,3,1,3,AFX-172,Impact Wood light 000,loud,0.6,-3,190,0.0,150,190.0,40.0,40.0
M-THORNBACK-3,Thornstorm Volley,3,2,1,AFX-152,Impact Soft heavy 000,quiet,0.5,-4,170,1.3,150,171.3,21.3,20.0
M-THORNBACK-3,Thornstorm Volley,3,3,1,AFX-822,Wet Break 4,quiet,0.5,-4,320,63.0,320,383.0,63.0,0.0
M-THORNBACK-3,Thornstorm Volley,3,4,1,AFX-013,Cloth 2,quiet,0.4,-2,450,117.9,320,567.9,247.9,130.0
M-THORNBACK-4,Ironquill Bulwark,1,1,1,AFX-509,Impact Metal 004,main,0.7,-4,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-4,Ironquill Bulwark,1,2,1,AFX-828,0,quiet,0.5,-3,90,1.2,120,91.2,-28.8,-30.0
M-THORNBACK-4,Ironquill Bulwark,2,1,1,AFX-509,Impact Metal 004,main,0.7,-4,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-4,Ironquill Bulwark,2,2,1,AFX-828,0,quiet,0.5,-3,90,1.2,120,91.2,-28.8,-30.0
M-THORNBACK-4,Ironquill Bulwark,2,2,2,AFX-828,0,quiet,0.5,-3,200,1.2,260,201.2,-58.8,-60.0
M-THORNBACK-4,Ironquill Bulwark,2,3,1,AFX-501,Force Field 001,quiet,0.5,0,180,37.0,120,217.0,97.0,60.0
M-THORNBACK-4,Ironquill Bulwark,3,1,1,AFX-509,Impact Metal 004,main,0.75,-4,0,0.0,0,0.0,0.0,0.0
M-THORNBACK-4,Ironquill Bulwark,3,2,1,AFX-828,0,quiet,0.5,-3,90,1.2,120,91.2,-28.8,-30.0
M-THORNBACK-4,Ironquill Bulwark,3,2,2,AFX-828,0,quiet,0.5,-3,200,1.2,260,201.2,-58.8,-60.0
M-THORNBACK-4,Ironquill Bulwark,3,2,3,AFX-828,0,quiet,0.5,-3,310,1.2,320,311.2,-8.8,-10.0
M-THORNBACK-4,Ironquill Bulwark,3,3,1,AFX-501,Force Field 001,quiet,0.5,-4,200,46.6,260,246.6,-13.4,-60.0
M-THORNBACK-4,Ironquill Bulwark,3,4,1,AFX-843,Gravel,quiet,0.45,-4,420,76.9,320,496.9,176.9,100.0
M-DUSTHOUND-1,Choking Pall,1,1,1,AFX-524,Laser Small 004,main,0.85,-5,0,0.0,0,0.0,0.0,0.0
M-DUSTHOUND-1,Choking Pall,2,1,1,AFX-524,Laser Small 004,main,0.85,-5,0,0.0,0,0.0,0.0,0.0
M-DUSTHOUND-1,Choking Pall,2,2,1,AFX-012,Cloth 1,loud,0.55,-4,160,139.9,160,299.9,139.9,0.0
M-DUSTHOUND-1,Choking Pall,3,1,1,AFX-524,Laser Small 004,main,0.85,-5,0,0.0,0,0.0,0.0,0.0
M-DUSTHOUND-1,Choking Pall,3,2,1,AFX-012,Cloth 1,loud,0.55,-4,160,139.9,160,299.9,139.9,0.0
M-DUSTHOUND-1,Choking Pall,3,3,1,AFX-431,Low Three Tone,quiet,0.5,-3,240,120.1,260,360.1,100.1,-20.0
M-DUSTHOUND-2,Run-Down,1,1,1,AFX-147,Impact Punch medium 000,main,0.7,-2,0,20.2,0,20.2,20.2,0.0
M-DUSTHOUND-2,Run-Down,2,1,1,AFX-147,Impact Punch medium 000,main,0.7,-2,0,20.2,0,20.2,20.2,0.0
M-DUSTHOUND-2,Run-Down,2,2,1,AFX-065,Footstep grass 003,quiet,0.45,-2,160,0.0,150,160.0,10.0,10.0
M-DUSTHOUND-2,Run-Down,3,1,1,AFX-147,Impact Punch medium 000,main,0.7,-2,0,20.2,0,20.2,20.2,0.0
M-DUSTHOUND-2,Run-Down,3,2,1,AFX-065,Footstep grass 003,quiet,0.45,-2,160,0.0,150,160.0,10.0,10.0
M-DUSTHOUND-2,Run-Down,3,3,1,AFX-495,Explosion Crunch 000,quiet,0.5,-4,260,0.0,280,260.0,-20.0,-20.0
M-DUSTHOUND-3,Snap,1,1,1,AFX-817,Deep Break 9,main,0.6,-2,0,104.4,0,104.4,104.4,0.0
M-DUSTHOUND-3,Snap,2,1,1,AFX-817,Deep Break 9,main,0.6,-2,0,104.4,0,104.4,104.4,0.0
M-DUSTHOUND-3,Snap,2,2,1,AFX-157,Impact Soft medium 000,quiet,0.45,0,130,1.0,160,131.0,-29.0,-30.0
M-DUSTHOUND-3,Snap,3,1,1,AFX-817,Deep Break 9,main,0.6,-2,0,104.4,0,104.4,104.4,0.0
M-DUSTHOUND-3,Snap,3,2,1,AFX-157,Impact Soft medium 000,quiet,0.45,0,130,1.0,160,131.0,-29.0,-30.0
M-DUSTHOUND-3,Snap,3,3,1,AFX-843,Gravel,quiet,0.5,-4,240,76.9,240,316.9,76.9,0.0
M-DUSTHOUND-4,Dust Kick,1,1,1,AFX-843,Gravel,main,0.6,-3,0,72.5,0,72.5,72.5,0.0
M-DUSTHOUND-4,Dust Kick,2,1,1,AFX-843,Gravel,main,0.6,-3,0,72.5,0,72.5,72.5,0.0
M-DUSTHOUND-4,Dust Kick,2,2,1,AFX-851,Sand spell,loud,0.6,2,140,73.9,160,213.9,53.9,-20.0
M-DUSTHOUND-4,Dust Kick,2,3,1,AFX-020,Creak 3,quiet,0.5,-2,300,86.4,300,386.4,86.4,0.0
M-DUSTHOUND-4,Dust Kick,3,1,1,AFX-843,Gravel,main,0.6,-3,0,72.5,0,72.5,72.5,0.0
M-DUSTHOUND-4,Dust Kick,3,2,1,AFX-851,Sand spell,loud,0.6,-2,140,93.2,160,233.2,73.2,-20.0
M-DUSTHOUND-4,Dust Kick,3,3,1,AFX-020,Creak 3,quiet,0.5,-2,300,86.4,340,386.4,46.4,-40.0
M-DUSTHOUND-4,Dust Kick,3,4,1,AFX-429,Low Down,quiet,0.5,-2,380,157.1,380,537.1,157.1,0.0
M-BARROWMOLE-1,Collapse Barrow,1,1,1,AFX-121,Impact Mining 004,main,0.6,-1,0,1.1,0,1.1,1.1,0.0
M-BARROWMOLE-1,Collapse Barrow,2,1,1,AFX-121,Impact Mining 004,main,0.6,-1,0,1.1,0,1.1,1.1,0.0
M-BARROWMOLE-1,Collapse Barrow,2,2,1,AFX-430,Low Random,loud,0.6,-4,160,121.0,160,281.0,121.0,0.0
M-BARROWMOLE-1,Collapse Barrow,3,1,1,AFX-121,Impact Mining 004,main,0.6,-1,0,1.1,0,1.1,1.1,0.0
M-BARROWMOLE-1,Collapse Barrow,3,2,1,AFX-430,Low Random,loud,0.6,-4,160,121.0,160,281.0,121.0,0.0
M-BARROWMOLE-1,Collapse Barrow,3,3,1,AFX-495,Explosion Crunch 000,loud,0.55,-4,280,0.0,240,280.0,40.0,40.0
M-BARROWMOLE-2,Undermine,1,1,1,AFX-152,Impact Soft heavy 000,main,0.7,-2,0,1.1,0,1.1,1.1,0.0
M-BARROWMOLE-2,Undermine,2,1,1,AFX-152,Impact Soft heavy 000,main,0.7,-2,0,1.1,0,1.1,1.1,0.0
M-BARROWMOLE-2,Undermine,2,2,1,AFX-121,Impact Mining 004,quiet,0.5,-2,150,1.1,150,151.1,1.1,0.0
M-BARROWMOLE-2,Undermine,3,1,1,AFX-152,Impact Soft heavy 000,main,0.7,-2,0,1.1,0,1.1,1.1,0.0
M-BARROWMOLE-2,Undermine,3,2,1,AFX-121,Impact Mining 004,quiet,0.5,-2,150,1.1,150,151.1,1.1,0.0
M-BARROWMOLE-2,Undermine,3,3,1,AFX-526,Low Frequency explosion 001,quiet,0.5,-3,300,82.1,300,382.1,82.1,0.0
M-BARROWMOLE-3,Spade Claw,1,1,1,AFX-029,Draw Knife 3,main,1.0,-3,0,153.4,0,153.4,153.4,0.0
M-BARROWMOLE-3,Spade Claw,1,2,1,AFX-085,Impact Generic light 003,loud,0.6,-4,140,0.0,0,140.0,140.0,140.0
