Floor,Rare_pct,Epic_pct,Legendary_pct,Abyssal_pct
101,75.0,21.9,3.0,0.1
102,67.45,29.03,3.4,0.12
103,60.67,35.35,3.85,0.13
104,54.56,40.93,4.36,0.15
105,49.07,45.81,4.94,0.18
106,44.13,50.08,5.59,0.2
107,39.69,53.73,6.34,0.24
108,35.7,56.85,7.18,0.27
109,32.11,59.45,8.13,0.31
110,28.88,61.55,9.21,0.36
111,25.97,63.18,10.43,0.42
112,23.36,64.35,11.81,0.48
113,21.01,65.06,13.38,0.55
114,18.89,65.32,15.15,0.64
115,16.99,65.11,17.16,0.74
116,15.28,64.43,19.44,0.85
117,13.75,63.25,22.02,0.98
118,12.36,61.57,24.94,1.13
119,11.12,59.33,28.25,1.3
120,10.0,56.5,32.0,1.5
