Floor,Weight_C,Weight_UC,Weight_R,Weight_SR,Weight_SSR
101,15.0,25.0,30.0,18.0,12.0
102,0.0,0.0,0.0,0.0,0.0
103,12.89,21.91,29.62,20.47,15.11
104,0.0,0.0,0.0,0.0,0.0
105,10.87,18.86,28.72,22.86,18.68
106,0.0,0.0,0.0,0.0,0.0
107,9.0,15.94,27.33,25.06,22.68
108,0.0,0.0,0.0,0.0,0.0
109,7.31,13.21,25.52,26.96,27.0
110,0.0,0.0,0.0,0.0,0.0
111,5.83,10.75,23.39,28.46,31.57
112,0.0,0.0,0.0,0.0,0.0
113,4.57,8.6,21.06,29.52,36.25
114,0.0,0.0,0.0,0.0,0.0
115,3.52,6.76,18.65,30.12,40.95
116,0.0,0.0,0.0,0.0,0.0
117,2.67,5.24,16.27,30.26,45.56
118,0.0,0.0,0.0,0.0,0.0
119,2.0,4.0,14.0,30.0,50.0
120,0.0,0.0,0.0,0.0,0.0
