Floor,Worn,Common,Uncommon,Rare,Epic,Legendary,Abyssal,Divine,Primordial,Void
101,0,0,0,0,30,60,10,0,0,0
102,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,15,60,25,0,0,0
104,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,55,35,10,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,35,45,20,0,0
108,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,15,50,30,5,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,40,40,20,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,20,45,30,5
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,35,45,20
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,10,40,50
118,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,100
120,0,0,0,0,0,0,0,0,0,0
