Floor,Chance_C,Chance_UC,Chance_R,Chance_SR,Chance_SSR
1,0.042872,0.064308,0.107182,0.17149,0.300108
2,0.042522,0.063784,0.106306,0.17009,0.297658
3,0.042178,0.063268,0.105446,0.168712,0.295246
4,0.04184,0.062758,0.104598,0.167358,0.292874
5,0.041494,0.062242,0.103736,0.165976,0.29046
6,0.04115,0.061726,0.102878,0.164604,0.288056
7,0.040828,0.061242,0.102072,0.163314,0.285798
8,0.04051,0.060766,0.101278,0.162044,0.283576
9,0.040198,0.060298,0.100496,0.160792,0.281388
10,0,0,0,0,0
11,0.039584,0.059378,0.098962,0.15834,0.277094
12,0.03928,0.058918,0.098198,0.157116,0.274954
13,0.038986,0.058478,0.097464,0.15594,0.272896
14,0.038696,0.058044,0.096738,0.154782,0.27087
15,0.038396,0.057596,0.095992,0.153588,0.268778
16,0.038116,0.057174,0.09529,0.152464,0.266812
17,0.03784,0.056758,0.094598,0.151356,0.264874
18,0.037562,0.056344,0.093908,0.150252,0.26294
19,0.037288,0.055932,0.09322,0.14915,0.261014
20,0,0,0,0,0
21,0.036762,0.055142,0.091904,0.147046,0.25733
22,0.036504,0.054756,0.09126,0.146014,0.255526
23,0.03625,0.054374,0.090624,0.144998,0.253748
24,0.035988,0.053982,0.089968,0.14395,0.251912
25,0.035738,0.053606,0.089344,0.14295,0.250164
26,0.035488,0.053232,0.08872,0.141954,0.248418
27,0.035248,0.052872,0.08812,0.140992,0.246738
28,0.035012,0.052516,0.087528,0.140044,0.245078
29,0.034778,0.052166,0.086944,0.13911,0.243442
30,0,0,0,0,0
31,0.034318,0.051476,0.085794,0.13727,0.240222
32,0.034092,0.05114,0.085232,0.13637,0.23865
33,0.033856,0.050784,0.084638,0.135422,0.236988
34,0.033636,0.050456,0.084092,0.134548,0.235458
35,0.033422,0.050132,0.083552,0.133684,0.233948
36,0.033208,0.049812,0.08302,0.132832,0.232456
37,0.032998,0.049496,0.082494,0.13199,0.230984
38,0.032788,0.049182,0.081968,0.13115,0.229512
39,0.032582,0.048874,0.081456,0.13033,0.228076
40,0,0,0,0,0
41,0.032176,0.048262,0.080438,0.1287,0.225226
42,0.031968,0.047952,0.07992,0.127874,0.223778
43,0.031774,0.04766,0.079434,0.127094,0.222412
44,0.031578,0.047368,0.078946,0.126314,0.221048
45,0.031388,0.047082,0.07847,0.125552,0.219716
46,0.0312,0.0468,0.078,0.1248,0.2184
47,0.03101,0.046514,0.077524,0.12404,0.21707
48,0.030826,0.04624,0.077066,0.123306,0.215784
49,0.030646,0.045968,0.076612,0.12258,0.214516
50,0,0,0,0,0
51,0.030278,0.045418,0.075698,0.121116,0.211952
52,0.030104,0.045156,0.07526,0.120416,0.210728
53,0.02993,0.044896,0.074828,0.119724,0.209516
54,0.02976,0.04464,0.0744,0.11904,0.20832
55,0.029586,0.04438,0.073968,0.118348,0.207108
56,0.02942,0.04413,0.07355,0.11768,0.205938
57,0.029254,0.043882,0.073136,0.117018,0.204782
58,0.02909,0.043634,0.072724,0.116356,0.203624
59,0.028928,0.043392,0.07232,0.11571,0.202494
60,0,0,0,0,0
61,0.028602,0.042904,0.071506,0.11441,0.200218
62,0.028442,0.042664,0.071106,0.11377,0.199098
63,0.028288,0.042432,0.07072,0.113152,0.198018
64,0.028134,0.0422,0.070334,0.112534,0.196934
65,0.027982,0.041974,0.069956,0.11193,0.195876
66,0.027832,0.04175,0.069582,0.111332,0.19483
67,0.027684,0.041528,0.069212,0.11074,0.193794
68,0.027538,0.041308,0.068846,0.110154,0.19277
69,0.027384,0.041076,0.068458,0.109534,0.191684
70,0,0,0,0,0
71,0.027098,0.040646,0.067744,0.10839,0.189682
72,0.026958,0.040436,0.067394,0.10783,0.1887
73,0.026818,0.040228,0.067046,0.107274,0.18773
74,0.026682,0.040022,0.066702,0.106724,0.186768
75,0.026546,0.039818,0.066362,0.10618,0.185816
76,0.026408,0.039612,0.066018,0.10563,0.184852
77,0.026272,0.039408,0.065682,0.10509,0.183908
78,0.026134,0.039202,0.065336,0.104538,0.182942
79,0.026004,0.039006,0.06501,0.104016,0.182028
80,0,0,0,0,0
81,0.025746,0.03862,0.064368,0.102988,0.180228
82,0.02562,0.03843,0.06405,0.102482,0.179342
83,0.025492,0.038238,0.06373,0.101968,0.178444
84,0.025366,0.03805,0.063416,0.101466,0.177564
85,0.025244,0.037866,0.063108,0.100974,0.176704
86,0.025122,0.037682,0.062804,0.100486,0.175852
87,0.024996,0.037494,0.062488,0.099982,0.174968
88,0.024876,0.037314,0.06219,0.099504,0.174132
89,0.024758,0.037136,0.061894,0.099032,0.173304
90,0,0,0,0,0
91,0.024522,0.036782,0.061302,0.098084,0.171648
92,0.024406,0.03661,0.061016,0.097624,0.170844
93,0.024292,0.036438,0.06073,0.09717,0.170046
94,0.02418,0.03627,0.060448,0.096718,0.169256
95,0.024068,0.036102,0.06017,0.096272,0.168474
96,0.023952,0.035928,0.05988,0.095808,0.167664
97,0.023838,0.035758,0.059596,0.095354,0.16687
98,0.02373,0.035594,0.059324,0.09492,0.16611
99,0.023622,0.035434,0.059056,0.094488,0.165356
100,0,0,0,0,0
