Floor_Lo,Floor_Hi,Grade,Weight_Pct
1,30,Worn,72
1,30,Common,24
1,30,Uncommon,4
31,60,Worn,55
31,60,Common,30
31,60,Uncommon,12
31,60,Rare,2.7
31,60,Epic,0.3
61,90,Worn,40
61,90,Common,32
61,90,Uncommon,20
61,90,Rare,7
61,90,Epic,0.95
61,90,Legendary,0.05
91,100,Worn,30
91,100,Common,32
91,100,Uncommon,24
91,100,Rare,11
91,100,Epic,2.7
91,100,Legendary,0.28
91,100,Abyssal,0.02
101,101,Rare,75.0
101,101,Epic,21.9
101,101,Legendary,3.0
101,101,Abyssal,0.1
102,102,Rare,67.45
102,102,Epic,29.03
102,102,Legendary,3.4
102,102,Abyssal,0.12
103,103,Rare,60.67
103,103,Epic,35.35
103,103,Legendary,3.85
103,103,Abyssal,0.13
104,104,Rare,54.56
104,104,Epic,40.93
104,104,Legendary,4.36
104,104,Abyssal,0.15
105,105,Rare,49.07
105,105,Epic,45.81
105,105,Legendary,4.94
105,105,Abyssal,0.18
106,106,Rare,44.13
106,106,Epic,50.08
106,106,Legendary,5.59
106,106,Abyssal,0.2
107,107,Rare,39.69
107,107,Epic,53.73
107,107,Legendary,6.34
107,107,Abyssal,0.24
108,108,Rare,35.7
108,108,Epic,56.85
108,108,Legendary,7.18
108,108,Abyssal,0.27
109,109,Rare,32.11
109,109,Epic,59.45
109,109,Legendary,8.13
109,109,Abyssal,0.31
110,110,Rare,28.88
110,110,Epic,61.55
110,110,Legendary,9.21
110,110,Abyssal,0.36
111,111,Rare,25.97
111,111,Epic,63.18
111,111,Legendary,10.43
111,111,Abyssal,0.42
112,112,Rare,23.36
112,112,Epic,64.35
112,112,Legendary,11.81
112,112,Abyssal,0.48
113,113,Rare,21.01
113,113,Epic,65.06
113,113,Legendary,13.38
113,113,Abyssal,0.55
114,114,Rare,18.89
114,114,Epic,65.32
114,114,Legendary,15.15
114,114,Abyssal,0.64
115,115,Rare,16.99
115,115,Epic,65.11
115,115,Legendary,17.16
115,115,Abyssal,0.74
116,116,Rare,15.28
116,116,Epic,64.43
116,116,Legendary,19.44
116,116,Abyssal,0.85
117,117,Rare,13.75
117,117,Epic,63.25
117,117,Legendary,22.02
117,117,Abyssal,0.98
118,118,Rare,12.36
118,118,Epic,61.57
118,118,Legendary,24.94
118,118,Abyssal,1.13
119,119,Rare,11.12
119,119,Epic,59.33
119,119,Legendary,28.25
119,119,Abyssal,1.3
120,120,Rare,10.0
120,120,Epic,56.5
120,120,Legendary,32.0
120,120,Abyssal,1.5
