Enchant_ID,Class,Stat,Unit,Host_Categories,Weight_Pct,Roll_Min_Mult,Roll_Max_Mult,Base_Formula,Bucket,Effect,Legality
ENC-FLAT-ATK,Flat,Attack,flat,Weapon;Accessory,45,0.55,1.45,3.6 x T x GF,adds into the base bracket alongside gems,Flat Attack enchantment - rolls 0.55 to 1.45 x the base formula on apply,"rolls only on items whose own stat is Attack (Main Hand, Off Hand and Signet accessories)"
ENC-FLAT-DEF,Flat,Defense,flat,Armour;Weapon,45,0.55,1.45,3.6 x T x GF,adds into the base bracket alongside gems,Flat Defense enchantment - rolls 0.55 to 1.45 x the base formula on apply,"rolls only on items whose own stat is Defense (Head, Chest, Gloves, Feet and Defense Off Hands)"
ENC-FLAT-HP,Flat,HP,flat,Accessory,45,0.55,1.45,3.6 x T x GF,adds into the base bracket alongside gems,Flat HP enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is HP (Relic accessories)
ENC-FLAT-CATK,Flat,Creature Attack,flat,Tag,45,0.55,1.45,3.6 x T x GF,adds into the base bracket alongside gems,Flat Creature Attack enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is Creature Attack (Attack tags)
ENC-FLAT-CDEF,Flat,Creature Defense,flat,Tag,45,0.55,1.45,3.6 x T x GF,adds into the base bracket alongside gems,Flat Creature Defense enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is Creature Defense (Defense tags)
ENC-FLAT-CHP,Flat,Creature HP,flat,Tag,45,0.55,1.45,3.6 x T x GF,adds into the base bracket alongside gems,Flat Creature HP enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is Creature HP (HP tags)
ENC-INCR-ATK,Increased,Attack,percent,Weapon;Accessory,40,0.55,1.45,5.6% + 1.70% x (g-1) + 0.56% x T,adds into the additive % bucket alongside runes,Increased Attack enchantment - rolls 0.55 to 1.45 x the base formula on apply,"rolls only on items whose own stat is Attack (Main Hand, Off Hand and Signet accessories)"
ENC-INCR-DEF,Increased,Defense,percent,Armour;Weapon,40,0.55,1.45,5.6% + 1.70% x (g-1) + 0.56% x T,adds into the additive % bucket alongside runes,Increased Defense enchantment - rolls 0.55 to 1.45 x the base formula on apply,"rolls only on items whose own stat is Defense (Head, Chest, Gloves, Feet and Defense Off Hands)"
ENC-INCR-HP,Increased,HP,percent,Accessory,40,0.55,1.45,5.6% + 1.70% x (g-1) + 0.56% x T,adds into the additive % bucket alongside runes,Increased HP enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is HP (Relic accessories)
ENC-INCR-CATK,Increased,Creature Attack,percent,Tag,40,0.55,1.45,5.6% + 1.70% x (g-1) + 0.56% x T,adds into the additive % bucket alongside runes,Increased Creature Attack enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is Creature Attack (Attack tags)
ENC-INCR-CDEF,Increased,Creature Defense,percent,Tag,40,0.55,1.45,5.6% + 1.70% x (g-1) + 0.56% x T,adds into the additive % bucket alongside runes,Increased Creature Defense enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is Creature Defense (Defense tags)
ENC-INCR-CHP,Increased,Creature HP,percent,Tag,40,0.55,1.45,5.6% + 1.70% x (g-1) + 0.56% x T,adds into the additive % bucket alongside runes,Increased Creature HP enchantment - rolls 0.55 to 1.45 x the base formula on apply,rolls only on items whose own stat is Creature HP (HP tags)
ENC-MORE-ATK,More,Attack,percent,Weapon;Accessory,15,0.6,1.5,12.0% + 0.90% x (g-1) + 0.50% x T,"adds into the multiplicative bucket, additive with the LOCAL soul multiplier",More Attack enchantment - rolls 0.6 to 1.5 x the base formula on apply,"rolls only on items whose own stat is Attack (Main Hand, Off Hand and Signet accessories)"
ENC-MORE-DEF,More,Defense,percent,Armour;Weapon,15,0.6,1.5,12.0% + 0.90% x (g-1) + 0.50% x T,"adds into the multiplicative bucket, additive with the LOCAL soul multiplier",More Defense enchantment - rolls 0.6 to 1.5 x the base formula on apply,"rolls only on items whose own stat is Defense (Head, Chest, Gloves, Feet and Defense Off Hands)"
ENC-MORE-HP,More,HP,percent,Accessory,15,0.6,1.5,12.0% + 0.90% x (g-1) + 0.50% x T,"adds into the multiplicative bucket, additive with the LOCAL soul multiplier",More HP enchantment - rolls 0.6 to 1.5 x the base formula on apply,rolls only on items whose own stat is HP (Relic accessories)
ENC-MORE-CATK,More,Creature Attack,percent,Tag,15,0.6,1.5,12.0% + 0.90% x (g-1) + 0.50% x T,"adds into the multiplicative bucket, additive with the LOCAL soul multiplier",More Creature Attack enchantment - rolls 0.6 to 1.5 x the base formula on apply,rolls only on items whose own stat is Creature Attack (Attack tags)
ENC-MORE-CDEF,More,Creature Defense,percent,Tag,15,0.6,1.5,12.0% + 0.90% x (g-1) + 0.50% x T,"adds into the multiplicative bucket, additive with the LOCAL soul multiplier",More Creature Defense enchantment - rolls 0.6 to 1.5 x the base formula on apply,rolls only on items whose own stat is Creature Defense (Defense tags)
ENC-MORE-CHP,More,Creature HP,percent,Tag,15,0.6,1.5,12.0% + 0.90% x (g-1) + 0.50% x T,"adds into the multiplicative bucket, additive with the LOCAL soul multiplier",More Creature HP enchantment - rolls 0.6 to 1.5 x the base formula on apply,rolls only on items whose own stat is Creature HP (HP tags)
