Floor,Creature_ID,Rarity_Tier
1,DFMC-001,C
1,DFMC-006,C
1,DFMC-008,C
1,DFMC-002,UC
1,DFMC-004,UC
1,DFMC-009,UC
1,DFMC-003,R
1,DFMC-005,R
1,DFMC-003,SSR
1,DFMC-005,SR
2,DFMC-001,C
2,DFMC-006,C
2,DFMC-008,C
2,DFMC-004,UC
2,DFMC-009,UC
2,DFMC-002,UC
2,DFMC-003,R
2,DFMC-005,R
2,DFMC-003,SSR
2,DFMC-007,SR
3,DFMC-001,C
3,DFMC-006,C
3,DFMC-008,C
3,DFMC-009,UC
3,DFMC-002,UC
3,DFMC-004,UC
3,DFMC-003,R
3,DFMC-005,R
3,DFMC-003,SSR
3,DFMC-010,SR
4,DFMC-001,C
4,DFMC-006,C
4,DFMC-008,C
4,DFMC-002,UC
4,DFMC-004,UC
4,DFMC-009,UC
4,DFMC-003,R
4,DFMC-005,R
4,DFMC-003,SSR
4,DFMC-005,SR
5,DFMC-001,C
5,DFMC-006,C
5,DFMC-008,C
5,DFMC-004,UC
5,DFMC-009,UC
5,DFMC-002,UC
5,DFMC-003,R
5,DFMC-005,R
5,DFMC-003,SR
5,DFMC-007,SSR
6,DFMC-001,C
6,DFMC-006,C
6,DFMC-008,C
6,DFMC-009,UC
6,DFMC-002,UC
6,DFMC-004,UC
6,DFMC-003,R
6,DFMC-005,R
6,DFMC-003,SR
6,DFMC-010,SSR
7,DFMC-001,C
7,DFMC-006,C
7,DFMC-008,C
7,DFMC-002,UC
7,DFMC-004,UC
7,DFMC-009,UC
7,DFMC-003,R
7,DFMC-005,R
7,DFMC-003,SR
7,DFMC-005,SSR
8,DFMC-001,C
8,DFMC-006,C
8,DFMC-008,C
8,DFMC-004,UC
8,DFMC-009,UC
8,DFMC-002,UC
8,DFMC-003,R
8,DFMC-005,R
8,DFMC-003,SR
8,DFMC-007,SSR
9,DFMC-001,C
9,DFMC-006,C
9,DFMC-008,C
9,DFMC-009,UC
9,DFMC-002,UC
9,DFMC-004,UC
9,DFMC-003,R
9,DFMC-005,R
9,DFMC-003,SR
9,DFMC-010,SSR
10,DFMC-001,C
10,DFMC-006,C
10,DFMC-008,C
10,DFMC-002,UC
10,DFMC-004,UC
10,DFMC-009,UC
10,DFMC-003,R
10,DFMC-005,R
10,DFMC-003,SR
10,DFMC-005,SSR
11,DFMC-014,C
11,DFMC-017,C
11,DFMC-101,C
11,DFMC-011,UC
11,DFMC-012,UC
11,DFMC-015,UC
11,DFMC-018,R
11,DFMC-102,R
11,DFMC-013,SSR
11,DFMC-016,SR
12,DFMC-011,C
12,DFMC-017,C
12,DFMC-101,C
12,DFMC-014,UC
12,DFMC-015,UC
12,DFMC-018,UC
12,DFMC-102,R
12,DFMC-012,R
12,DFMC-013,SSR
12,DFMC-019,SR
13,DFMC-011,C
13,DFMC-014,C
13,DFMC-101,C
13,DFMC-017,UC
13,DFMC-018,UC
13,DFMC-102,UC
13,DFMC-012,R
13,DFMC-015,R
13,DFMC-013,SSR
13,DFMC-103,SR
14,DFMC-011,C
14,DFMC-014,C
14,DFMC-017,C
14,DFMC-101,UC
14,DFMC-102,UC
14,DFMC-012,UC
14,DFMC-015,R
14,DFMC-018,R
14,DFMC-013,SSR
14,DFMC-016,SR
15,DFMC-014,C
15,DFMC-017,C
15,DFMC-101,C
15,DFMC-011,UC
15,DFMC-012,UC
15,DFMC-015,UC
15,DFMC-018,R
15,DFMC-102,R
15,DFMC-013,SR
15,DFMC-019,SSR
16,DFMC-011,C
16,DFMC-017,C
16,DFMC-101,C
16,DFMC-014,UC
16,DFMC-015,UC
16,DFMC-018,UC
16,DFMC-102,R
16,DFMC-012,R
16,DFMC-013,SR
16,DFMC-103,SSR
17,DFMC-011,C
17,DFMC-014,C
17,DFMC-101,C
17,DFMC-017,UC
17,DFMC-018,UC
17,DFMC-102,UC
17,DFMC-012,R
17,DFMC-015,R
17,DFMC-013,SR
17,DFMC-016,SSR
18,DFMC-011,C
18,DFMC-014,C
18,DFMC-017,C
18,DFMC-101,UC
18,DFMC-102,UC
18,DFMC-012,UC
18,DFMC-015,R
18,DFMC-018,R
18,DFMC-013,SR
18,DFMC-019,SSR
19,DFMC-014,C
19,DFMC-017,C
19,DFMC-101,C
19,DFMC-011,UC
19,DFMC-012,UC
19,DFMC-015,UC
19,DFMC-018,R
19,DFMC-102,R
19,DFMC-013,SR
19,DFMC-103,SSR
20,DFMC-011,C
20,DFMC-017,C
20,DFMC-101,C
20,DFMC-014,UC
20,DFMC-015,UC
20,DFMC-018,UC
20,DFMC-102,R
20,DFMC-012,R
20,DFMC-013,SR
20,DFMC-016,SSR
21,DFMC-023,C
