Id,Name,Group,File,Frames,Cols,Frame_W,Frame_H,Source_Blend,Hue,Sat,Colored,Licence,Source
FX-001,Cinder Burst,explosion,assets/fx/bank/fx-001.webp,24,6,128,128,source-over,25,0.58,yes,CC0-1.0,"Unity Labs Paris Explosion00 (5x5, 25f)"
FX-002,Ash Detonation,explosion,assets/fx/bank/fx-002.webp,24,6,128,128,source-over,24,0.61,no,CC0-1.0,"Unity Labs Paris Explosion01 (5x5, 25f)"
FX-003,Pale Detonation,explosion,assets/fx/bank/fx-003.webp,24,6,128,128,source-over,28,0.56,no,CC0-1.0,"Unity Labs Paris Explosion01-light (5x5, 25f)"
FX-004,Pale Plume,explosion,assets/fx/bank/fx-004.webp,24,6,128,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris Explosion01-light-nofire (5x5, 25f)"
FX-005,Ash Plume,explosion,assets/fx/bank/fx-005.webp,24,6,128,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris Explosion01-nofire (5x5, 25f)"
FX-006,Ember Blast,explosion,assets/fx/bank/fx-006.webp,24,6,128,128,source-over,28,0.61,yes,CC0-1.0,"Unity Labs Paris Explosion02 (5x5, 25f)"
FX-007,"Ember Blast, Greater",explosion,assets/fx/bank/fx-007.webp,24,6,128,128,source-over,30,0.58,yes,CC0-1.0,"Unity Labs Paris Explosion02HD (5x5, 25f)"
FX-008,Pyre Orb I,fire,assets/fx/bank/fx-008.webp,24,6,128,128,lighter,35,0.97,yes,CC0-1.0,"Unity Labs Paris FireBall01 (8x8, 64f)"
FX-009,Pyre Orb II,fire,assets/fx/bank/fx-009.webp,24,6,128,128,lighter,26,0.98,yes,CC0-1.0,"Unity Labs Paris FireBall02 (8x8, 64f)"
FX-010,Pyre Orb III,fire,assets/fx/bank/fx-010.webp,24,6,128,128,lighter,46,0.99,yes,CC0-1.0,"Unity Labs Paris FireBall03 (8x8, 64f)"
FX-011,Pyre Orb IV,fire,assets/fx/bank/fx-011.webp,24,6,128,128,lighter,29,0.98,yes,CC0-1.0,"Unity Labs Paris FireBall04 (8x8, 64f)"
FX-012,Standing Flame,flame,assets/fx/bank/fx-012.webp,24,6,64,128,source-over,35,0.83,yes,CC0-1.0,"Unity Labs Paris Flame02 (16x4, 64f)"
FX-013,Slender Flame,flame,assets/fx/bank/fx-013.webp,24,6,64,128,source-over,35,0.81,yes,CC0-1.0,"Unity Labs Paris Flame03 (16x4, 64f)"
FX-014,Hollow Flame,flame,assets/fx/bank/fx-014.webp,48,6,64,128,lighter,27,0.97,yes,CC0-1.0,"Unity Labs Paris Flame03-hollow (16x4, 64f)"
FX-018,Candle Smoke,smoke,assets/fx/bank/fx-018.webp,24,6,51,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris CandleSmoke01 (20x4, 80f)"
FX-019,Rising Column,smoke,assets/fx/bank/fx-019.webp,24,6,64,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris DiscSmoke01 (16x4, 64f)"
FX-020,Wisp Smoke I,smoke,assets/fx/bank/fx-020.webp,24,6,128,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris WispySmoke01 (8x8, 64f)"
FX-021,Wisp Smoke II,smoke,assets/fx/bank/fx-021.webp,24,6,128,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris WispySmoke02 (8x8, 64f)"
FX-022,Wisp Smoke III,smoke,assets/fx/bank/fx-022.webp,24,6,128,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris WispySmoke03 (8x8, 64f)"
FX-023,Wisp Smoke IIIb,smoke,assets/fx/bank/fx-023.webp,24,6,128,128,source-over,,0,no,CC0-1.0,"Unity Labs Paris WispySmoke03b (8x8, 64f)"
FX-028,Frost Burst,ice,assets/fx/bank/fx-028.webp,24,6,127,128,lighter,214,0.96,yes,CC0-1.0,Effekseer EffectMaterials ef_ice01 (24f)
