Slots,Currency,Cost,Cumulative,Design_Currency,Design_Cost,Note
90,Wraithgold,1,1,Scrap,712,"Interim pricing (D 2026-07-27): every block is 1 Wraithgold. Design_Cost keeps the authored Scrap curve for the block."
100,Wraithgold,1,2,Scrap,919,
110,Wraithgold,1,3,Scrap,1188,
120,Wraithgold,1,4,Scrap,1535,
130,Wraithgold,1,5,Scrap,1984,
140,Wraithgold,1,6,Scrap,2566,
150,Wraithgold,1,7,Scrap,3316,
160,Wraithgold,1,8,Scrap,4287,
170,Wraithgold,1,9,Scrap,5540,"Extended to 400 on D's ruling 2026-09-08 (#789): 24 more blocks of 10, 1 Wraithgold each. Design_Cost continues the authored x1.2925 curve."
180,Wraithgold,1,10,Scrap,7160,
190,Wraithgold,1,11,Scrap,9253,
200,Wraithgold,1,12,Scrap,11959,
210,Wraithgold,1,13,Scrap,15455,
220,Wraithgold,1,14,Scrap,19973,
230,Wraithgold,1,15,Scrap,25812,
240,Wraithgold,1,16,Scrap,33359,
250,Wraithgold,1,17,Scrap,43111,
260,Wraithgold,1,18,Scrap,55715,
270,Wraithgold,1,19,Scrap,72004,
280,Wraithgold,1,20,Scrap,93055,
290,Wraithgold,1,21,Scrap,120260,
300,Wraithgold,1,22,Scrap,155418,
310,Wraithgold,1,23,Scrap,200855,
320,Wraithgold,1,24,Scrap,259577,
330,Wraithgold,1,25,Scrap,335465,
340,Wraithgold,1,26,Scrap,433540,
350,Wraithgold,1,27,Scrap,560288,
360,Wraithgold,1,28,Scrap,724092,
370,Wraithgold,1,29,Scrap,935784,
380,Wraithgold,1,30,Scrap,1209365,
390,Wraithgold,1,31,Scrap,1562930,
400,Wraithgold,1,32,Scrap,2019861,"400 is the hard cap"
