ID,Line_ID,Stage,Name,Grade_Attack,Grade_Defense,Grade_Utility,Grade_Speed,Current_Attack,Current_Defense,Atk_AxisMult,Def_AxisMult
DFMC-001,THORNBACK,1,Bristle,4,4,4,2,7,7,0.85,0.85
DFMC-002,THORNBACK,2,Thornhide,6,6,4,2,7,7,1.15,1.15
DFMC-003,THORNBACK,3,Thornback,7,7,4,2,7,7,1.3,1.3
DFMC-004,DUSTHOUND,1,Whelp,4,2,3,7,7,3,0.85,0.55
DFMC-005,DUSTHOUND,2,Dustcur,6,2,3,7,7,3,1.15,0.55
DFMC-006,DUSTHOUND,3,Dusthound,7,3,3,7,7,3,1.3,0.7
DFMC-007,BARROWMOLE,1,Grub,2,5,6,3,3,8,0.55,1.0
DFMC-008,BARROWMOLE,2,Delver,2,7,6,3,3,8,0.55,1.3
DFMC-009,BARROWMOLE,3,Barrowmole,3,8,6,3,3,8,0.7,1.45
DFMC-010,BRAMBLEFAWN,1,Fawn,1,2,7,7,2,4,0.4,0.55
DFMC-011,BRAMBLEFAWN,2,Briarfawn,1,3,7,7,2,4,0.4,0.7
DFMC-012,BRAMBLEFAWN,3,Bramblefawn,2,4,7,7,2,4,0.55,0.85
DFMC-013,NIGHTMARE,1,Shade,2,1,7,8,4,2,0.55,0.4
DFMC-014,NIGHTMARE,2,Phantasm,3,1,7,8,4,2,0.7,0.4
DFMC-015,NIGHTMARE,3,Nightmare,4,2,7,8,4,2,0.85,0.55
DFMC-016,GOLGOTH,1,Cairn,5,4,3,3,8,7,1.0,0.85
DFMC-017,GOLGOTH,2,Menhir,7,6,3,3,8,7,1.3,1.15
DFMC-018,GOLGOTH,3,Golgoth,8,7,3,3,8,7,1.45,1.3
DFMC-019,WYCHROOT,1,Sprig,2,5,7,3,3,8,0.55,1.0
DFMC-020,WYCHROOT,2,Woodwose,2,7,7,3,3,8,0.55,1.3
DFMC-021,WYCHROOT,3,Wychroot,3,8,7,3,3,8,0.7,1.45
DFMC-022,GARROTE,1,Noose,6,2,3,8,9,3,1.15,0.55
DFMC-023,GARROTE,2,Ligature,7,2,3,8,9,3,1.3,0.55
DFMC-024,GARROTE,3,Garrote,9,3,3,8,9,3,1.6,0.7
DFMC-025,GALLOWSBIRD,1,Nestling,2,2,7,9,3,3,0.55,0.55
DFMC-026,GALLOWSBIRD,2,Carrion,2,2,7,9,3,3,0.55,0.55
DFMC-027,GALLOWSBIRD,3,Gallowsbird,3,3,7,9,3,3,0.7,0.7
DFMC-028,HERNE,1,Hart,2,2,9,8,3,4,0.55,0.55
DFMC-029,HERNE,2,Leshy,2,3,9,8,3,4,0.55,0.7
DFMC-030,HERNE,3,Herne,3,4,9,8,3,4,0.7,0.85
DFMC-031,TIDECRAWLER,1,Nauplius,2,5,1,7,4,8,0.55,1.0
DFMC-032,TIDECRAWLER,2,Barnacle,3,7,1,7,4,8,0.7,1.3
DFMC-033,TIDECRAWLER,3,Tidecrawler,4,8,1,7,4,8,0.85,1.45
DFMC-034,SALTJAW,1,Fry,5,2,4,6,8,3,1.0,0.55
DFMC-035,SALTJAW,2,Snapjaw,7,2,4,6,8,3,1.3,0.55
DFMC-036,SALTJAW,3,Saltjaw,8,3,4,6,8,3,1.45,0.7
DFMC-037,BRINEFROG,1,Polliwog,2,2,7,6,3,4,0.55,0.55
DFMC-038,BRINEFROG,2,Brineling,2,3,7,6,3,4,0.55,0.7
DFMC-039,BRINEFROG,3,Brinefrog,3,4,7,6,3,4,0.7,0.85
DFMC-040,CRESTMANTIS,1,Zoea,5,2,4,7,8,3,1.0,0.55
DFMC-041,CRESTMANTIS,2,Smasher,7,2,4,7,8,3,1.3,0.55
DFMC-042,CRESTMANTIS,3,Crestmantis,8,3,4,7,8,3,1.45,0.7
DFMC-043,DUSKSCALE,1,Gecko,4,5,3,3,7,8,0.85,1.0
DFMC-044,DUSKSCALE,2,Monitor,6,7,3,3,7,8,1.15,1.3
DFMC-045,DUSKSCALE,3,Duskscale,7,8,3,3,7,8,1.3,1.45
DFMC-046,RUSALKA,1,Naiad,1,2,8,7,2,4,0.4,0.55
DFMC-047,RUSALKA,2,Undine,1,3,8,7,2,4,0.4,0.7
DFMC-048,RUSALKA,3,Rusalka,2,4,8,7,2,4,0.55,0.85
DFMC-049,BULWARK,1,Whorl,2,6,7,3,3,9,0.55,1.15
DFMC-050,BULWARK,2,Rampart,2,7,7,3,3,9,0.55,1.3
DFMC-051,BULWARK,3,Bulwark,3,9,7,3,3,9,0.7,1.6
DFMC-052,NETHEREEL,1,Elver,5,2,4,8,8,3,1.0,0.55
DFMC-053,NETHEREEL,2,Conger,7,2,4,8,8,3,1.3,0.55
DFMC-054,NETHEREEL,3,Nethereel,8,3,4,8,8,3,1.45,0.7
DFMC-055,CORALHYDRA,1,Polyp,6,5,4,3,6,5,1.15,1.0
DFMC-056,CORALHYDRA,2,Medusa,7,7,4,3,9,8,1.3,1.3
DFMC-057,CORALHYDRA,3,Coralhydra,9,8,4,3,9,8,1.6,1.45
DFMC-058,DAGON,1,Nommo,6,2,9,3,10,4,1.15,0.55
DFMC-059,DAGON,2,Oannes,8,3,9,3,10,4,1.45,0.7
