Kind,Key,Flat_Min,Flat_Max,Incr_Min,Incr_Max,More_Min,More_Max,K,Notes
tier,1,4,7,10.0,20.0,12.0,22.0,,"T1 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,2,8,15,10.3,20.8,12.4,22.8,,"T2 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,3,12,23,10.7,21.6,12.9,23.6,,"T3 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,4,16,30,11.0,22.3,13.3,24.3,,"T4 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,5,20,38,11.3,23.1,13.8,25.1,,"T5 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,6,24,45,11.7,23.9,14.2,25.9,,"T6 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,7,28,52,12.0,24.7,14.7,26.7,,"T7 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,8,32,61,12.3,25.4,15.1,27.4,,"T8 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,9,36,68,12.7,26.2,15.6,28.2,,"T9 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
tier,10,40,76,13.0,27.0,16.0,29.0,,"T10 scroll: flat rolls this many points, % classes this many percent; the host item does not enter"
grade,Worn,,,,,,,1.0,"position in the band = u^(1/K); median 50%, top quarter 25% of rolls"
grade,Common,,,,,,,1.2,"position in the band = u^(1/K); median 56%, top quarter 29% of rolls"
grade,Uncommon,,,,,,,1.45,"position in the band = u^(1/K); median 62%, top quarter 34% of rolls"
grade,Rare,,,,,,,1.75,"position in the band = u^(1/K); median 67%, top quarter 40% of rolls"
grade,Epic,,,,,,,2.1,"position in the band = u^(1/K); median 72%, top quarter 45% of rolls"
grade,Legendary,,,,,,,2.5,"position in the band = u^(1/K); median 76%, top quarter 51% of rolls"
grade,Abyssal,,,,,,,3.0,"position in the band = u^(1/K); median 79%, top quarter 58% of rolls"
grade,Divine,,,,,,,3.6,"position in the band = u^(1/K); median 82%, top quarter 65% of rolls"
grade,Primordial,,,,,,,4.3,"position in the band = u^(1/K); median 85%, top quarter 71% of rolls"
grade,Void,,,,,,,5.0,"position in the band = u^(1/K); median 87%, top quarter 76% of rolls"
