Slots,Currency,Cost,Cumulative,Design_Currency,Design_Cost,Note
60,Wraithgold,1,1,Wraithgold,50,"Interim pricing (D 2026-07-27): every block is 1 Wraithgold. Design_Cost keeps the authored curve."
90,Wraithgold,1,2,Wraithgold,60,
120,Wraithgold,1,3,Wraithgold,80,
150,Wraithgold,1,4,Wraithgold,100,
180,Wraithgold,1,5,Wraithgold,120,
210,Wraithgold,1,6,Wraithgold,150,
240,Wraithgold,1,7,Wraithgold,190,
270,Wraithgold,1,8,Wraithgold,240,
300,Wraithgold,1,9,Wraithgold,300,
330,Wraithgold,1,10,Wraithgold,370,
360,Wraithgold,1,11,Wraithgold,470,
390,Wraithgold,1,12,Wraithgold,580,
420,Wraithgold,1,13,Wraithgold,730,
450,Wraithgold,1,14,Wraithgold,910,
480,Wraithgold,1,15,Wraithgold,1150,
510,Wraithgold,1,16,Wraithgold,1400,
540,Wraithgold,1,17,Wraithgold,1800,
570,Wraithgold,1,18,Wraithgold,2200,
600,Wraithgold,1,19,Wraithgold,2800,"Final expansion — 600 is the hard cap"
