Ult_ID,Line_ID,Stage,Name,Learn_Level,Kind,Power,Mag_Pct,Dur_Rounds,Counter_Power,Stack_Pct,Stack_Cap,Heal_Pct,Fraction_Pct,Effect
ULT-WARRIOR-1,WARRIOR,1,Hold the Line,10,taunt,0,0,1,0,0,0,0,0,Every enemy single-target move this round is drawn to you. Area moves are not redirected.
ULT-WARRIOR-2,WARRIOR,2,Iron Bulwark,10,taunt,0,10,1,0,0,0,0,0,"Every enemy single-target move this round is drawn to you, and your Defense rises 10% for the rest of the battle."
ULT-WARRIOR-3,WARRIOR,3,Martyr's Aegis,10,taunt,0,10,1,0,0,0,5,0,"Every enemy single-target move this round is drawn to you, your Defense rises 10% for the rest of the battle, and you heal 5% of maximum HP for each hit you take this round."
ULT-MAGE-1,MAGE,1,Shardburst,10,nuke_aoe,75,0,0,0,0,0,0,0,Strikes every enemy for 75 power.
ULT-MAGE-2,MAGE,2,Stonefall,10,nuke_aoe,100,0,0,0,0,0,0,0,Strikes every enemy for 100 power.
ULT-MAGE-3,MAGE,3,Cataclysm,10,nuke_aoe,125,0,0,0,0,0,0,0,Strikes every enemy for 125 power.
ULT-ARCHER-1,ARCHER,1,Sure Shot,10,nuke_single,180,0,0,0,0,0,0,0,Strikes one enemy for 180 power.
ULT-ARCHER-2,ARCHER,2,Deadeye,10,nuke_single,240,0,0,0,0,0,0,0,Strikes one enemy for 240 power.
ULT-ARCHER-3,ARCHER,3,Godpiercer,10,nuke_single,300,0,0,0,0,0,0,0,Strikes one enemy for 300 power.
ULT-BRUTE-1,BRUTE,1,Blood Price,10,retaliate,0,0,1,50,4,40,0,0,"This round every hit you take is answered with a 50 power counter, and each hit raises your Attack 4% for the rest of the battle, up to +40%."
ULT-BRUTE-2,BRUTE,2,Tyrant's Toll,10,retaliate,0,0,1,65,5,50,0,0,"This round every hit you take is answered with a 65 power counter, and each hit raises your Attack 5% for the rest of the battle, up to +50%."
ULT-BRUTE-3,BRUTE,3,Wrath of the Pit,10,retaliate,0,0,1,80,6,60,0,0,"This round every hit you take is answered with an 80 power counter, and each hit raises your Attack 6% for the rest of the battle, up to +60%."
ULT-PROFESSOR-1,PROFESSOR,1,Recitation,10,echo,0,0,0,0,0,0,0,40,Every support ability you have slotted fires at once across the whole party at 40% magnitude and half duration.
ULT-PROFESSOR-2,PROFESSOR,2,Grand Thesis,10,echo,0,0,0,0,0,0,0,50,Every support ability you have slotted fires at once across the whole party at 50% magnitude and half duration.
ULT-PROFESSOR-3,PROFESSOR,3,Revelation,10,echo,0,0,0,0,0,0,0,60,Every support ability you have slotted fires at once across the whole party at 60% magnitude and half duration.
ULT-ASSASSIN-1,ASSASSIN,1,Slip Away,10,vanish,0,0,1,0,0,0,0,0,You cannot be targeted by single-target moves for 1 round. Area moves still connect and existing effects keep ticking.
ULT-ASSASSIN-2,ASSASSIN,2,Shadowmeld,10,vanish,0,0,2,0,0,0,0,0,You cannot be targeted by single-target moves for 2 rounds. Area moves still connect and existing effects keep ticking.
ULT-ASSASSIN-3,ASSASSIN,3,Vanish,10,vanish,0,0,3,0,0,0,0,0,You cannot be targeted by single-target moves for 3 rounds. Area moves still connect and existing effects keep ticking.
