Zone,Floor_Lo,Floor_Hi,Worn,Common,Uncommon,Rare,Epic,Legendary,Abyssal,Divine,Primordial,Void
1,1,10,100,0,0,0,0,0,0,0,0,0
2,11,20,70,30,0,0,0,0,0,0,0,0
3,21,30,40,45,15,0,0,0,0,0,0,0
4,31,40,0,50,35,15,0,0,0,0,0,0
5,41,50,0,25,45,25,5,0,0,0,0,0
6,51,60,0,0,40,35,20,5,0,0,0,0
7,61,70,0,0,20,40,30,10,0,0,0,0
8,71,80,0,0,0,35,40,25,0,0,0,0
9,81,90,0,0,0,20,45,35,0,0,0,0
10,91,100,0,0,0,0,40,60,0,0,0,0
11,101,101,0,0,0,0,30,60,10,0,0,0
11,103,103,0,0,0,0,15,60,25,0,0,0
11,105,105,0,0,0,0,0,55,35,10,0,0
11,107,107,0,0,0,0,0,35,45,20,0,0
11,109,109,0,0,0,0,0,15,50,30,5,0
11,111,111,0,0,0,0,0,0,40,40,20,0
11,113,113,0,0,0,0,0,0,20,45,30,5
11,115,115,0,0,0,0,0,0,0,35,45,20
11,117,117,0,0,0,0,0,0,0,10,40,50
11,119,119,0,0,0,0,0,0,0,0,0,100
